Query File,Target File
Eddy Duane__Rebel Rouser,6__65422ecb13c4d783d4edd2ee9ff8067c
The Kinks__You Really Got Me.2,8__8266e5898c03727d364d6c77a65928ff
"The Kinks__Lola - The Kinks Christmas Concert, 1977",0__0e57e04e0fd3fe14d20ee84612878a1f
The Kinks__Sunday Afternoon,4__4fcc32760e1bcd47d75ec193c2eb3334
The Kinks__You Really Got Me.1,3__3548ea3ab5fe987cedb7f0c6b5cd9f3b
The Kinks__Chirpy Chirpy Cheep Cheep,7__733bd0d076597a754eb0df96e031c52e
The Kinks__Chirpy Chirpy Cheep Cheep.1,2__259a3ff1ef0133e74045085c14c1e11b
The Kinks__Waterloo Sunset,7__73bbcfe85e0a0ac45ceca3c34720b1bc
The Kinks__Waterloo Sunset.1,1__1f5b5ec898e43a04753e1deafb4e5a76
The Kinks__Chirpy Chirpy Cheep Cheep.2,c__cda0a0a2a0a62aa26b92e9b3a8814375
The Kinks__Chirpy Chirpy Cheep Cheep.3,a__aa79ed4f35a9a74dfe909dd2b06aad50
The Kinks__You Really Got Me,c__c71c0a932049a8207aa769149ff26b48
"Chopin Frederic__Nocturne In G Minor, Op. 15 Nr. 3",8__895f0a5c8004efaf440f57e167677e67
"Chopin Frederic__Nocturne No. 18 in E major, Op. 62 No. 2",5__58f5400c101f0df376f5ed4452439cbc
"Chopin Frederic__Etude in E major, Op. 10 No. 3: Lento, ma non troppo.1",4__44fa95fc7e9739db86ae0bbb50693c80
"Chopin Frederic__Etude in E major, Op. 10 No. 3: Lento, ma non troppo.2",5__5438c0dbf3646a2180be4d3aa851a8ef
Chopin Frederic__Fantaisie impromptu,d__de6f34a02f18688eea2a9b05be42c9e0
"Chopin Frederic__Etude in E major, Op. 10 No. 3: Lento, ma non troppo",d__db1e2fc1f7a20077ba779c4bdbf0d074
"Chopin Frederic__Nocturne In C Minor, Op. 48 Nr. 1",6__69394e492ac48a617d90036237945535
"Chopin Frederic__Nocturne No. 1 in E minor, Op. 72: Andante",8__8b919bfb0131038edd6802f08d0fd524
"Chopin Frederic__Etude No. 24 in C minor ""Ocean"", Op. 25 No. 12",d__d003cfb87000456b322393e528a8c319
"Chopin Frederic__Waltz In A Minor, Op. 34 Nr. 2",6__6dd3ca2c38e1ce89fee8224e262cddfd
Chopin Frederic__Piano Sonata No. 3 B-flat Minor Op. 58 1st Movement,f__f177a7759ba95cebe3cf88c572d343ed
Chopin Frederic__Polonaise A-dur opus 40 Nr.1,3__344ad3e722f363eb23fed620b1f4b4ad
Chopin Frederic__Mazurka Nr. 51 f -moll op. 68 Nr. 4,a__afe6a1f3a9c95358ab0e9a03b9e3aa02
"Chopin Frederic__Mazurka D-Dur, Op. 33 Nr. 2",1__1b633b2e88aff832ac8599577338100a
"Chopin Frederic__Heroic Polonaise No. 6 in A flat, Opus 53",0__0f6c15def9fdbd1d42197548bb0aa82a
Chopin Frederic__Ballade Nr.1 op.23 g-moll,f__f45cdcc0c25af51fea4e554364c12470
Chopin Frederic__Larghetto,f__f8d883f0841ff0aa2de19f985761dec9
"Chopin Frederic__Prelude in E minor, op. 28 nr. 4 ""Suffocation"" (arr. Franz Liszt) (organ: Gerrie Meijers)",9__93fc13532be69d497dfbe20f0b920a58
Chopin Frederic__Etude c moll opus 10 Nr.12.1,6__6d9581530854c8226cf06999f8b2dec4
Chopin Frederic__Barcarolle Opus 60,2__26e0322c4301f0867147f2e40980bd2a
Chopin Frederic__Etude c moll opus 10 Nr.12,8__8a5aa2d153872d6d567ce5a531bd1bb1
Chopin Frederic__Waltz in E Minor Opus posthumous,3__3cdf9a96ee589ef07f872c008989e6fe
"Chopin Frederic__Nocturne In G Minor, Op. 37 Nr. 1",4__4573a0c0ede3011b687c3d04e2057589
Chopin Frederic__Berceuse,8__86d9b5208dc52d46b71f38afcef9466a
"Chopin Frederic__Waltz In D Flat Major, Op. 70 Nr. 3",b__bb89cb10224f97d121bdcb3753fdf04a
"Chopin Frederic__Nocturne in F minor, Op. 55 No. 1",8__8a632b84821fd2cf974c9e5baffb0e9d
"Chopin Frederic__Nocturne in F-sharp major, Op. 15 No. 2",e__e8ff44fdbfb1620995d079933b2263f4
Garland__Over the Rainbow,0__0fc554e322844f66e9605928b0b082dd
Lena Horne__Watch What Happens,b__b2e3d8473e3d50a54524e4cebc49db4b
Time Bandits__I'm Specialized in You,1__1fc761296f2ded7ff909dbc59f25ab55
Jimmy Cliff__Reggae Night,f__f9ce3da0dd02863a123b8860d4ffa843
Jimmy Cliff__Wild World,f__f28e534381d95d8fa91a9d713b1e31d1
Jimmy Cliff__I Can See Clearly Now.1,5__510b837f146e11c32ce03ec2cbcb0edb
Jimmy Cliff__I Can See Clearly Now,c__cb1ea79d6bd7bb21fbfc930b83a9bc13
Los Del Rio__Macarena.7,2__2f97a8df16535b2e05ab6192563e1561
Los Del Rio__Macarena.5,1__1f56b220efcdd0f432074667bbbfc24b
Los Del Rio__Macarena.6,c__c966c83642896bd1609b9a5422a26393
Los Del Rio__Macarena.3,d__d0595273e0af94c898d4e0844ddf1f52
Los Del Rio__Macarena.2,3__3914577d2d543b73d3e1f8fa22a3b9ec
Los Del Rio__Macarena.4,f__f2aae7cc966624644dc6eb8844c5e74e
Los Del Rio__Macarena,9__9518c7e13c47890cd09ea09152f7fb5a
The Escape Club__Shake for the Sheik,3__37fbb1459d56e7d4b36883c242d3ab8f
Mylene Farmer__Pourvu qu'elles soient douces,9__9e6c5624738e85f3abaf72cb08ba217d
Mylene Farmer__Desenchantee,a__a7fe39d294aab35ab0a4587bc2f92d91
Mylene Farmer__A Quoi Je Sers,a__af87ad6feccd00bb696b39aafdc9437e
Mylene Farmer__Pourvu qu'elles soient douces.1,6__6af3b83832bc22f34a2b08ba780503c3
Telly Savalas__Some Broken Hearts Never Mend,6__6dc9d4ef53a0f0a4aad6d3d83dcceb59
Godsmack__Keep Away,e__e9e2d2f41dd58a8dde1db09d422becb0
Godsmack__Voodoo,b__b7d6046cff04f2b5e5e6ea0e749ca2e3
Godsmack__Moon Baby,4__4a9e270606565a699dbb52cdfd5fac54
Godsmack__Whatever,4__4f2d4b7f558bcca4ee5b585c76f0162e
Ben Cramer__De oude muzikant,d__d533d945d0f3a3eccb3a441a04656787
Ben Cramer__De clown,a__acb898355e161f0c63dcd352a1c7baa5
"Garth Brooks__Two of a Kind, Workin' on a Full House",a__ac8c98ab39fc3b60a46f363ba9a62e6e
Fool's Garden__Wild Days.1,5__5779e81225aa5c581db8e6912f9ab505
Fool's Garden__Wild Days,4__4e1bdce91c42698cc1cc05379afb5ee1
Fool's Garden__Lemon Tree,a__a48de2fda09cd7b87301660ee94fbe73
Fool's Garden__Lemon Tree.1,8__863aa670d917a95ea77cc6f03a5bdaf7
Lucifer__Selfpity,e__ed5cc6e87998457ee09813f46cebac02
Marillion__Just for the Record,9__99f2fb96e8328438907d40c4d384c3f9
Marillion__Incommunicado,1__10c08a9f44adfa5373ae74d851f98f92
Marillion__Punch And Judy   Misplaced Childhood Part 1,2__2956e475d74d62c499694e2ba27ce5fa
Marillion__He Knows You Know,b__ba4e00532466ed523656e2fd6d011553
Marillion__Going Under,2__2cbca579fb15b1b338c2732cbe88cb06
Marillion__Kayleigh,2__268937a0329c7f008657f6ce1d1c7762
Marillion__No One Can.1,3__3b477c9b7e725c49e8dff05448d09416
Marillion__Heart of Lothian,e__e545c335a91b09439ecd1d3eb2400639
Marillion__Cover My Eyes (Pain & Heaven),6__6241c0254efeb4021a8388e59f3b9d18
Marillion__Garden Party,c__cfbd5550dc98227aa1a950eeeff67419
Marillion__Kayleigh.1,7__7ceffed8c2a93ae0c409ded3e506a0aa
Marillion__Splintering Heart,9__9c6179c18cbb5be384d0dde20b46f290
Marillion__No One Can,8__84b43d392c9ee7fef4fa9e9a1293f394
Peter Tosh__Johnny B Goode,8__8518e74b8569841265fef4eb8d527d87
Marco Borsato__De waarheid,1__1f1f27d88bf858c7ee1a8c05d5bbf5fc
Marco Borsato__Je hoeft niet naar huis vannacht,0__010539e41873e37b3e2b9cbf351df0a4
Marco Borsato__Waarom nou jij,c__c0fbf5e3de297c506c2e902098000237
Marco Borsato__Dromen zijn bedrog,8__875303a0ca5d794a537f624584d137fc
Marco Borsato__At This Moment,4__46360c317ec4e56bb189c6ec54f9f43e
Marco Borsato__Ik leef niet meer voor jou,d__d4bd5354ec9014672018f053878dd6a5
"Clarence ""Frogman"" Henry__(I Don't Know Why) But I Do.1",5__597d77cdaf1f1f28718e8da058cf4572
"Clarence ""Frogman"" Henry__(I Don't Know Why) But I Do",7__72c74d131b4ab9adae6c6172b777f192
Gloria Gaynor__How High the Moon,8__819389f676599509095a71364a14b676
Gloria Gaynor__I Will Survive.2,3__35905e21e81c04552e390370a4b3b169
Gloria Gaynor__I Will Survive.4,0__0ea8cd398bc317b0cd7f4de3c5aee536
Gloria Gaynor__I Will Survive,5__5947864ca304cceec95514d5fc1859c2
Gloria Gaynor__Never Can Say Goodbye,b__be879bfc589ee03a5d2c5be748f4c296
Gloria Gaynor__I Am What I Am,6__64de6aac2a5233de31fa2dbc185df717
Gloria Gaynor__Can't Take My Eyes Off You,6__6ebe7a663eb2c85ff3e8cffcc383cea9
Gloria Gaynor__I Will Survive.1,c__c0cc573bb12d1fc399df8af0c721b9c2
Gloria Gaynor__Never Can Say Goodbye.1,f__f70365966f81d8d60be3eaf0a1650bc1
Gloria Gaynor__I Will Survive.3,2__24ff135398bcdb5955cdba3f411c1c44
Gloria Gaynor__Never Can Say Goodbye.2,5__5427c75805277ddd7cce457e54caa3af
Gloria Gaynor__Medley: I Will Survive   Never Can Say Goodbye   Reach Out   I Am What I Am,6__685ae7850b3f035b42b4f294e675f122
Reel 2 Real__I Like to Move It,d__d81423d00dbb368c19f4fcd6fc189953
Berlin__The Metro,0__0844a7233ff90332a90c16ecb1f0770f
Berlin__Take My Breath Away,e__e2dc2ec3263cf1bf35bca3e56a5e9d72
Berlin__Take My Breath Away.2,7__7c9fc1fc033328003849c53920fe5914
Berlin__Take My Breath Away.1,e__ebd16af3e8ba92dbb7194f17c08c2530
The Notorious B.I.G.__Notorious Thugs,4__468ac4d536fd120f9e0020ed31fc1b16
The Notorious B.I.G.__Big Poppa.2,e__e3b2f6b50ec099c61d45544037b6638c
The Notorious B.I.G.__Miss U,a__aae9e9715b90511bd098808e825b41be
The Notorious B.I.G.__Big Poppa.1,b__bf49390c6cf2370fb6d7a843f4018ede
The Notorious B.I.G.__Ready to Die,9__9dfb19d37f0acb5b3274f5908c2e42e2
The Notorious B.I.G.__Big Poppa.3,f__f38163dda7d5cd6c1f9e5a709abd4b61
The Notorious B.I.G.__Ready to Die.1,a__acf89570e47e5792d1b037545be0051f
The Notorious B.I.G.__One More Chance,4__4d9ee7ab6cba40dacbed377f3cad6324
The Notorious B.I.G.__Big Poppa,f__fc660b8294de73c131980d511d6c5637
The Notorious B.I.G.__Notorious Thugs.1,c__cbf74be2ebd1add4eeb9e4ed7ffa5fce
The Notorious B.I.G.__Mo Money Mo Problems,8__857eaa0cb5f08fe07bc94b877de8f1b6
Sister Sledge__We Are Family.1,0__0d2f5d86f7b560794af2c5a846bf13b4
Sister Sledge__All American Girls,b__b93a0af23bbaedb62613d25844638f64
Sister Sledge__We Are Family.2,5__54821bcd40cedeba8dc96fde5b52a090
Sister Sledge__Lost in Music,1__141f18b49ef98f18c7906f95c75bb366
Sister Sledge__We Are Family,4__411f554512d632eabd11e2b580469a32
LaTour__People Are Still Having Sex,d__d1bf72fe6a1b2ad8880cf556b392a443
Vince Guaraldi__Les Peanuts   Charly Brown   Snoopy,f__f16daf24c0ec708671d6b904fed481e1
Vince Guaraldi__Linus and Lucy,7__7feb913b1652abd229ad7ff42c1181b6
Mike Oldfield__Conflict,7__7fa5c064a22a957c538d6fe2534285f7
Mike Oldfield__Taurus II,4__43f98ca50665b265dd9de9a5f3e0d143
Mike Oldfield__Moonlight Shadow,3__335c60947e7d0b6eb3d0f61eabe1a67d
Mike Oldfield__Amarok,3__3c766c55bf2ea7798cc79de5b2c91883
Mike Oldfield__The Lake (Two Sides Excerpt),a__af3ca99aadd1cb7c2aa7ffca9ce43945
Mike Oldfield__Ommadawn,c__c5e0539f4a1bbf1b4cd0ee05059b7ee5
Mike Oldfield__Tubular Bells (part one),5__55d8e92f0152466f164e3f62957a9101
"Mike Oldfield__Incantations, Part 4",1__1d33e867c8de978402457510dbc4191c
Jerry Herman__Look Over There,0__09aa2e3e4b4291071e5dad15d097a567
Jerry Herman__I Won't Send Roses (reprise),a__a00a28a2dfa2cd19f1728ef1d0385a13
Jerry Herman__I Won't Send Roses (reprise).1,6__60148897cf4706981664acf2143eb21d
Michael Penn__No Myth,5__53bb1630ced22405f897d4c351e58fde
Joe Dolce__Shaddap Your Face,a__acca6ece68031b3c3573e3ed36cd09c6
The Cars__Let's Go.2,9__9bdf3fff0174ecab8871d572c0882b02
The Cars__Drive,7__7d4b3b95c17f41963e4d69caa95c8981
The Cars__Let's Go,b__bbb1a13b568d865cacec6582fa8fe7a8
The Cars__You Might Think.1,1__1b7eb98e8efdeada105815eb700d3115
The Cars__Drive.5,0__051a2e917414e59956aad890d32b268c
The Cars__You Might Think.2,d__d5fbfe3d0869f88c89cdecf85f496ffc
The Cars__Let's Go.1,8__8e66a597183d5b87d3ddfb25c4ab49ff
The Cars__Let's Go.3,2__21deafc9c167539b565fc242c2bd8960
The Cars__It's All I Can Do,b__bdb2c77263176103a677ce89ea40dc56
The Cars__You Might Think,c__ca9e1829f0bcf5fa8aa2be2575234ac9
The Cars__Just What I Needed.2,c__c5bf87ab8f147f38586674bfcdf8a7d9
The Cars__My Best Friend's Girl,b__b9b3b4b3208573eab407baa3b183b794
The Cars__Just What I Needed,c__c29cca581d58fe5751bd3c6368ad6609
The Cars__Tonight She Comes.1,a__ac5b07dc5963e62faa68c7bedac3ce46
The Cars__Tonight She Comes,7__759e5604c7f3295c5c4de43bb854088c
The Cars__You Might Think.3,d__de7107650e147d0044f561758703a9c3
The Cars__Shake It Up,4__452c2898a5bb10fdeeda8b46f70a2409
The Cars__Drive.2,7__73fdb3e514a5800ec0b31a0c13482f74
The Cars__Bye Bye Love,8__82bd185819b3f6749980a3dd41ad4288
The Cars__Drive.4,0__01f33832b7fab0fb2765d0bb03b51beb
The Cars__Good Times Roll.1,5__59ce77ccfe798c91a93dbb66618e4f91
The Cars__Just What I Needed.1,a__a6a2a37afaae82d37679490446635add
The Cars__Drive.1,0__082787d37dcb29d44671ab67e850a1cf
The Cars__Good Times Roll,6__618ea5fdb0149cce8fc09c29f81c9d7f
The Cars__Drive.3,e__e7735d67f55de4b7d9a8b40c376d7664
Jovanotti__Bella,f__fb4e90efc53ea110cabe3fef19b556b2
Jovanotti__Ragazzo fortunato.1,5__5959b2288c262751694bb7a6adcd6050
Jovanotti__Per te,3__3bf91506c18d6103e33091fa54ac0bb7
Jovanotti__Chissa' Se Stai Dormendo,d__d35a87d9d554f17ead66cd8e925667a9
Jovanotti__Quando Sarai Lontana,f__f843eddd673290a9e9179c5c038545b1
Jovanotti__Un raggio di sole,a__a00d640da01fba7b8d2af0dfad5e4baf
Jovanotti__Non m'annoio,9__9dd0b69597c71c2abe2ec7d44da8e75c
Jovanotti__Io No,d__da383cc97819db36fa4fdf98eb9f9512
Jovanotti__Ragazzo fortunato,8__894f3f422c769c28edb4fc2e4d3d385f
Jovanotti__L'ombelico del mondo,1__1df0968635af14657697cae8009d09c9
Jovanotti__Dolce far niente,7__76f07d66ed49a41d05e9f2862be071dd
Jovanotti__Ciao mamma.1,6__64b29593de6da76e6414240bf7cc0815
Jovanotti__Serenata Rap.3,3__33511bfa66e02951fd6a3d4a8090cbe1
Jovanotti__L'ombelico del mondo.1,a__a17e7559bf5480176b2a5fad70ec4e16
Jovanotti__Moriro d'amore,0__0117bbc0263871ff9f66ea96ae082815
Jovanotti__Penso Positivo,9__98ef04b6bd05fe52953f03da8db872f4
Jovanotti__Ragazzo fortunato.2,e__e648acd9a515dcad4dbc36b98ba1e094
Jovanotti__Serenata Rap.1,b__bb1e9aa055c3660c250b4c164ae7c131
Jovanotti__Gente della notte,c__c3fa7b0f3a5a0565c8313e6e4de2ad0b
Jovanotti__Io ti cerchero,e__e3ede90a810d5a7728d2818ac36a0afa
Jovanotti__Bella.1,f__f6394b28b07831d634b5de611a99b066
Jovanotti__Salvami,2__226d9f326b8b10568d7fc8251fda8e9b
Jovanotti__Ciao mamma,c__c1b82d11743133bdcad3416a9086cb3d
Jovanotti__Stella cometa,e__e831ed574ef39b7d7210ed088aeaefb7
Jovanotti__Ragazzo fortunato.3,b__b3b607352237b1722e4a1181be8045d0
Jovanotti__Chissa' Se Stai Dormendo.1,e__e6e83440e4b708635899847ad73074da
Jovanotti__Gente della notte.1,c__ceb116de1d5cc1556b01488c7eb519a4
Jovanotti__Serenata Rap.2,2__2400ec62a790ff935db33a8e695a4a87
Jovanotti__Penso Positivo.1,0__05c8705e9aff81d884abdca8033c00f0
Rionegro__Rodopiou,5__5a6efa2c4221ef6c9402b391d9ea840e
The Presidents of the United States of America__Video Killed The Radio Star,5__55bf1f12673e4856a5946431bdaba83a
Yazz & plastic population__The Only Way Is Up.1,c__c0a4c1e58d4d244bbca8527b835bb09f
Yazz & plastic population__The Only Way Is Up,e__e10bd24fb8fcf87214d5336007efdc7b
J.J. Jackson__But It's Alright,8__802d8d18ff123e097321aa16e99814c5
The Shadows__Guitar Tango,8__8bfd132fcaf3c9f72b0d2cfde5f8289c
The Shadows__Sleepwalk.2,5__578bdf6291931716af6bc7436084866a
The Shadows__Quartermaster Stores,7__721063b13c2e5b77cac10bac568c508c
The Shadows__FBI,b__bd499f46f816ca8916f3b00008badea3
The Shadows__Foot Tapper,d__dd3f53e5a328a1645cc7b71b68232f62
The Shadows__Apache,f__f4ba013bc807ef22d3714d89823e8600
The Shadows__Sleepwalk,5__5e15c2a522a08afcdb8dea75066391af
The Shadows__Atlantis,2__232daa2cab69346c37b749a36b105730
The Shadows__Wonderful Land.1,5__5b10f6807574727164b847c86aac7d73
The Shadows__Riders in the Sky,d__d595b99d0b1ce447179b219afceb955c
The Shadows__Kontiki.2,5__525d1b05842b29855b2f4ee573205d9c
The Shadows__Guitar Boogie,6__62b52f59e0841200ed5c87d804b75761
The Shadows__Guitar Tango.1,c__c349953244a5adab53dfefc64c00986a
The Shadows__Dance On,6__60f5bbc3da04ee44a33f3f950bf69c5e
The Shadows__Apache.3,4__45030541f8bed7031cfceb28dbf3c8ed
The Shadows__Riders in the Sky.1,6__6aa21c4aacb1184de5c50f9ef80e9a55
The Shadows__Kontiki,5__54d852a7d1fd06a20c1d71c5c0538f6b
The Shadows__Atlantis.1,c__c4835983f60a550ff306c0ca6954bd9b
The Shadows__Wonderful Land,c__c462519567d400b22f46e7d197e098f4
The Shadows__Apache.1,5__500ba07e145d16bc652317e755f0596f
The Shadows__Unchained Melody,e__e7dbaf2ef12739fc04e3f4749991622d
The Shadows__Apache.2,3__3d77f16ac6470c53284196df271d024f
The Shadows__Kontiki.1,4__40fc0b156af623f86398c2c48ac1f131
The Shadows__Walk Don't Run,7__7f97d9a84c310a3c7ac4561257438e65
The Shadows__Sleepwalk.1,3__3a5e210459c22bfcbb53967878c63240
The Shadows__Theme From 'The Deerhunter' (Cavatina),3__31d84fd1b193948346f508ca7ca31df2
The Shadows__FBI.1,0__0a62611fc2767dc55b75c089b9b11a66
Heart__Crazy On You,b__b6ae6d129322b6ef080c6462e1ba35f5
Heart__Straight On,c__c169eb71a6945736fba68407066516b4
Heart__All I Wanna Do Is Make Love to You,0__09898f62f15992df8ffc9b28d01459f2
Heart__All Eyes,4__4a75ea688bc30960f9dad92f7d522041
Heart__If Looks Could Kill,6__69a92257a5f14054068c68e1fd4f406c
Heart__Barracuda,f__f2d791661d12a78a76abe370ce67a3d2
Heart__Magic Man,7__762a82f2c963ef74d8b84943984846f5
Heart__Alone,f__fc47c44c2551b7982d405a72f015bce2
Heart__Dog & Butterfly,0__04419f884565282f7b5f0238c848c883
Heart__Alone.2,2__2234f2623c16b78d59457f6adc80f1cc
Heart__Alone.1,7__743baf3e354e837a0f06db54c3eaff5e
Heart__These Dreams,8__8bfad2651b02b9d2d82d3d040a664820
Heart__Who Will You Run To,9__9c7e495369ec22454d2347c8a105890f
Heart__Barracuda.1,a__ac1daa13cd10f17ff2ca8dc919c498dc
Heart__These Dreams.1,6__67d35c6ca526d15bfa86e0fa966d26b0
Heart__What About Love,7__7a947bd89bb8b4284c8e82893f82cf28
Heart__Crazy On You.1,2__2b7506b04bce17771e2b7b8afc5bc3af
James Colin__Just Came Back,8__80310cae2999b617bb045808ad1074f7
Alanis Morissette__UR,3__3de25006cbe8679fcc96eeaf7c3798ec
Alanis Morissette__Right Through You,9__9b7bf878780d9fa633974419b58cafad
Alanis Morissette__Joining You.1,a__abc70742c30012d0346b5a8c340b718f
Alanis Morissette__All I Really Want,2__2e6fa0278c4ba63d7d17bccb6e9ee6a0
Alanis Morissette__Joining You,2__210698587bfe138bb42b90c14db2d2db
Alanis Morissette__You Learn,b__b12bb5b6540da0c4c02d353c003bd7bd
Alanis Morissette__You Oughta Know,2__29c6762e7a863dfd5de20b823301f6dd
Alanis Morissette__King of Pain,a__a5743566b2ffaaf29c3dce5b6e30f029
Alanis Morissette__Ironic.1,e__eb39e003c4a20aa20a5f933884432840
Alanis Morissette__The Couch,f__f08641d5a57e5defc5e692d405fb0d2a
Alanis Morissette__Ironic,8__850f089501e6cf79d37225073f87101b
Alanis Morissette__Baba,e__e5a42bd742b6118aa8dba0021ab61c20
Alanis Morissette__Thank U.1,7__71155f3c477cc82f9ce5736676ffea3e
Alanis Morissette__Head Over Feet,4__4c55c7d7c1699cddb4e3161b3858c999
Alanis Morissette__Are You Still Mad,9__97bb93e6690bfd88e10c52d730cf5958
Alanis Morissette__That I Would Be Good,8__87e40bf0a034289af80dff2970b6c455
Alanis Morissette__Hand in My Pocket,8__8e7e5842b7c1adfce94e3cc79d83a372
Alanis Morissette__All I Really Want.1,0__0690ebf2ada27144eb538b0b18c25f97
Alanis Morissette__Mary Jane.1,6__69d2890452972dd653a5fa0b2fc5a813
Alanis Morissette__Heart of the House,d__d1d96156cd005117e0f31c82d289d807
Alanis Morissette__Unsent,e__eea208070622885caf42e55a98dcf178
Alanis Morissette__Mary Jane,b__b6bd04e497ab73af55b96042cf2b9f82
Alanis Morissette__Thank U,1__14a04c4f03dc971f8a0fbb7d66f30a1f
Alanis Morissette__Uninvited,9__929f6b33502acca156b2330bf3ace73f
Knight__Baby Don't Change Your Mind,1__1fb7076d9d5e1c76d42ac9c1c9f93b33
Knight__The Way We Were Try to Remember,5__55021f29d06f196e174bc5084d704b9e
Tom Petty__You Wreck Me,8__8ff1167d22345581b37a6db95041d676
Don Backy__L'immensita,8__8a7d0cc0bf2a0f89a2baa8d4f3be4a8d
10cc__Dreadlock Holiday.4,3__3d610709ad70f2531ea9a26087330377
10cc__I'm Not In Love.1,e__e0b85c6220e1ba265b02138261344840
10cc__Dreadlock Holiday,1__1ab164762ddc795574490d4d80f55de1
10cc__The Things We Do for Love,d__d5f1fe3c7c1eb4262226a476f764e430
10cc__I'm Not In Love.3,0__0bc5ddea54f25e8cec44968fb1373a02
10cc__Dreadlock Holiday.1,7__7f883b69d78e496a38c273e49053139e
10cc__I'm Not In Love.2,e__e1762a9b3e44f5a0c13163e7e619db54
10cc__Dreadlock Holiday.2,4__4b151355d31cdc45b37d67a3f7c3c54b
10cc__Dreadlock Holiday.3,a__ae93af983a5c69bfff95b9f8a6776f1a
10cc__I'm Not In Love,e__eb002d9d3e79f5df5f954f64488460b3
LIGABUE__Bar Mario,3__3f3fa6023f2ea1ec53fdeb41c9c767f1
LIGABUE__Bambolina e barracuda.4,9__900f1f05fc153f6182b4c251666dc0dd
LIGABUE__Sogni di rock 'n' roll,c__c3db1b3ebc3f7da796b579cc1d3a5962
LIGABUE__Bambolina e barracuda,c__c67307063fca6428823648033fec19ea
LIGABUE__La porta dei sogni,d__df639691ed7ef5336f583f205bbcd877
LIGABUE__Non e tempo per noi.1,3__363d016c24bbcc5bd138bdfeadd305e9
LIGABUE__Viva!,2__27bf1fb8686ab52b860e24e515b9f256
LIGABUE__Sogni di rock 'n' roll.1,a__a02066253c084fc5c60fa654ef483bd5
LIGABUE__Una vita da mediano.2,9__9cbeabb5f08aa5102af322e63e760426
LIGABUE__Metti in circolo il tuo amore,8__8970048cf20b4fe496093df17cb61675
LIGABUE__Piccola citta eterna,7__7a854f7189b8c012fccfda87d8589fff
LIGABUE__Ho perso le parole.1,9__98f6ae8a28a874d7b0e8fa21396502ed
LIGABUE__Tra palco e realta.1,b__bfe4fd5f6a1ee1d2e1aefa4d633a2af7
"LIGABUE__Hai un momento, Dio?.1",7__7dea2bc9eca8358a56e9f3618bcdc08a
LIGABUE__Ancora in piedi.2,3__3fb464a94ee76ec8fc38841f2cd8a0fc
LIGABUE__Ho messo via,1__1d1e4cf46766126e48952a66453f8c6e
LIGABUE__Miss Mondo '99,6__6f5f6c1583de5da1197ae8e582d858d4
LIGABUE__Il giorno di dolore che uno ha,5__5185480a69b87d1878aff0483a2eb301
LIGABUE__Marlon Brando e sempre lui.1,1__1f9cfb4549b9ce6f85114c1f5265f45c
LIGABUE__Tra palco e realta,8__868096f119e81736254898048d4040e3
LIGABUE__Libera nos a malo.1,5__52a8ad8b4f95a34134d366735b5f79e5
LIGABUE__Marlon Brando e sempre lui,0__0229dafdecdad074a2895f34e5a9d141
LIGABUE__Uno dei tanti,a__aca46626d0d366ef3458d3443a27eb38
LIGABUE__Libera nos a malo,7__7b2aba4cf651ea0549a2f8e46d55fa32
LIGABUE__Il mio nome e mai piu,a__a15e5675aedee71f63261c5bfa679591
"LIGABUE__Hai un momento, Dio?",0__0a2b5be9a7cb2b743d01e9eb72078c84
LIGABUE__Ancora in piedi.1,7__722db56082c3147365cc8075b2686343
LIGABUE__Vivo morto o X,1__19d0d990b71c80c2039b368847127489
LIGABUE__Il mio nome e mai piu.1,e__e09bc9c096beef500ea5147555abdafb
LIGABUE__Metti in circolo il tuo amore.1,e__e12edc4f7e056f31213d177d55a69891
LIGABUE__Leggero.1,2__284ccfe14f79502a50654cf8dfb61273
LIGABUE__Leggero,2__22218522f2864f5527aea1a1c155469a
LIGABUE__Libera nos a malo.2,0__05f9762257f1d5d1cc1f104eced9d7f7
LIGABUE__Bambolina e barracuda.3,6__602066376225e859c7a851b59fefc725
LIGABUE__Certe notti,9__9a504b6c3d460309d62b8c18c763d339
"LIGABUE__Buon compleanno, Elvis!.1",7__7e0eda859b98ccc6143b5eb1d8fc4748
LIGABUE__Balliamo sul mondo,9__9047e1c19ed77350ee774905da9a1112
LIGABUE__Ho perso le parole,5__531d6f71e6c9c65dffcdf133f7822a84
LIGABUE__Non e tempo per noi,4__47b57f34c5741eba614919c97fd1d2b9
LIGABUE__Urlando contro il cielo,f__f32be2f1627929df20ca0d371ea8e2cb
LIGABUE__Una vita da mediano,5__59a78b8268b8e3a14210ef68dff1b604
LIGABUE__Quella che non sei.1,e__e9d727fbaa164f2f19f62cd4f5dc0dd8
LIGABUE__Ti sento,a__a0bb3ff37d75e397b0c7d5b1ccbd65b1
"LIGABUE__Buon compleanno, Elvis!",a__a3b3dcd7ceb053a21e84997da4d85427
LIGABUE__Bambolina e barracuda.1,1__1f022b2a21df74de45e5fa74e557b467
LIGABUE__Balliamo sul mondo.1,7__7cd058b0fe698d1b9db33d03dd68d853
Bone__Look Into My Eyes,a__aef1b744521fa9cb34e6f5494499148a
Bone__Days of Our Livez,4__4076389961bc33e8d1ede046fa81073a
Bone__Tha Crossroads,8__8ecb98b534c1d3c75b2d37051f8a56b3
